0,1,2
160367,"[3403, 17035, 17036, 17056, 23626, 23650, 23651, 23652, 23994, 23995, 23998, 23999, 47815, 114842, 160367, 162432, 177821, 203957, 252625, 267416]",1463
5629,"[4063, 5629, 5632, 5634, 5638, 117867, 118585, 118586, 151098, 153762, 158374, 160199, 186468, 275271, 277725, 288636]",2466
5630,"[2540, 4064, 5630, 5633, 117868, 118590, 118591, 118592, 124673, 151073, 151095, 153761, 156840, 158375, 160200, 171334, 184653, 199101, 275272]",3215
5696,"[5696, 5701, 41372]",15
5724,"[5724, 16112, 17074, 260277]",209
7524,"[1489, 7524, 23993, 30374, 174170, 195430, 201442, 216594, 252624, 260147, 261358]",163
7647,"[7646, 7647, 24521, 118597]",101
10747,"[10747, 202830, 203951, 249692]",337
41415,"[10858, 10859, 10860, 31402, 41418, 47809, 70216, 70645, 78105, 82831, 82832, 86439, 89722, 89724, 89726, 151129, 175281, 206948, 207200, 215697, 216565, 266511, 41415]",327
41416,"[10861, 10863, 31403, 41419, 70644, 73536, 78106, 78107, 86440, 89723, 179497, 202153, 202154, 249582, 41416, 66136, 73640]",156
11334,"[5872, 11334, 85510, 127542, 220639]",110
11346,"[11335, 11346, 11347, 58712, 63280, 81674, 154404, 203859, 212850, 221157]",1258
11360,[11360],133
11366,"[11366, 17066]",113
11373,"[11373, 184611, 235473]",18
11700,"[11700, 15434, 31046, 35111, 69252, 113389, 220748, 227279]",99
127388,"[15514, 15844, 23987, 24222, 53543, 67870, 87296, 91489, 94241, 113495, 127059, 127060, 127386, 127387, 127388, 127575, 127601, 127602, 127603, 127802, 128176, 128177, 128179, 152856, 203562, 203862, 217460, 222667, 228778, 231026, 236408, 262138, 274040, 278334, 278410, 289552, 128049]",1605
162593,"[16105, 16106, 24300, 24322, 31397, 35077, 53762, 58840, 70637, 71329, 91498, 162593, 165083, 169207, 170281, 196289, 196449, 197328, 197750, 198912, 200320, 201427, 201440, 205383, 205387, 205415, 206944, 209474, 211818, 212870, 212874, 222666, 230716, 231953, 236387, 236388, 248791, 252667, 252723, 254125, 257520, 257542, 258544, 258547, 258552, 261275, 265634, 266983, 270668, 270720, 270794, 274042, 16111, 17100, 24299, 24313, 28682, 58832, 58837, 63121, 73433, 115193, 115195, 211807, 211810, 212868, 212875, 218922, 219428, 219429, 220599, 231861, 231867, 252711, 252712, 252722, 252724, 254127, 258542, 258545, 258546, 265635, 266164, 266981, 270701, 93285, 254126, 258610, 265555, 271831, 272828, 275266, 275275]",6839
205419,"[16108, 16110, 24310, 24311, 24312, 35075, 53544, 53553, 111395, 115192, 115194, 115196, 205419, 205431, 208890, 212879, 220616, 230458, 231515, 270700, 278587]",903
